Event Name;Event Date;Event Location;Event Category;Event Type;Organizing Company;Company Website;Event Url
Turkey Triathlon;Sunday, November 20, 2016;Bonelli Park 120 Via Verde Park Road (South Shore) San Dimas , CA 91773 ;triathlon; Triathlon Sprint Beginner San Dimas, CA;Renegade Racing;http://renegaderaceseries.com;http://www.active.com//san-dimas-ca/duathlon/races/turkey-triathlon-2016?int=72-3-A36e74ee1a-e24a-4ecc-8084-9b3fa771dfcd
Tri Fort Worth Half Iron distance Triathlon;Sunday, May 21, 2017;Marine Creek 2664 Jim Wright freeway Fort Worth , TX 76116 ;triathlon; Other Endurance Fort Worth, TX;Trident Sports;http://www.trifortworth.com;http://www.active.com//fort-worth-tx/triathlon/races/tri-fort-worth-half-iron-distance-triathlon-2017?int=72-3-A464365a31-9dbf-45ab-9c8c-4a9fc93f95b9
Miami Kids Triathlon and Duathlon 2016;Sunday, March 13, 2016 - Sunday, November  6, 2016;FIU Biscayne Bay Campus 3000 NE 151 Street Aquatic Center North Miami , FL 33181 ;triathlon; Triathlon Beginner North Miami, FL;Miami Kids Triathlon;http://www.flatrinews.com;http://www.active.com//north-miami-fl/duathlon/races/miami-kids-triathlon-and-duathlon-2016?int=72-3-A5f2505dfb-0ee5-403f-b454-2772b01a8718
2017 Ironman 70.3 Buenos Aires;Sunday, March 12, 2017;Puerto Canoas Av de los lagos 2485 Nordelta , Tigre , Argentina 00000 ;triathlon; Triathlon Half Ironman;IRONMAN 70.3 Buenos Aires;http://www.ironman.com/triathlon/events/americas/ironman-70.3/buenos-aires.aspx;http://www.active.com//nordelta-tigre/triathlon/races/ironman-70-3-buenos-aires-2017?int=72-3-A6b683d249-2840-4abb-9fd6-b335b75f1041
2017 Spring Sprint Triathlon & Duathlon;Sunday, May  7, 2017;South Shores Park (East of SeaWorld) Mission Bay San Diego , CA 92109 ;triathlon; Duathlon Sprint Beginner San Diego, CA;KOZ Events;http://www.kozevents.com/Triathlons/Spring_Sprint_Triathlon/Race_Information.htm;http://www.active.com//san-diego-ca/duathlon/races/spring-sprint-triathlon-and-duathlon-2017?int=72-3-A77f348721-d524-4174-b187-29bd56c22845
Tinsel Triathlon;Sunday, December 11, 2016;West Valley High School 3401 Mustang Way Hemet , CA 92545 ;triathlon; Triathlon 5K Sprint Beginner;United Way;http://tinseltriathlon.com;http://www.active.com//hemet-ca/triathlon/races/tinsel-triathlon-2016?int=72-3-A8dc68b050-ff1e-4b34-8e33-8f77045385b9
The 13th Annual Shamrock Farms Rockin Refuel YMCA Thanksgiving Day Youth & Adult Sprint Triathlon & Duathlon;Thursday, November 24, 2016;Southwest Valley Regional YMCA 2919 N Litchfield Rd. Goodyear , AZ 85395 ;triathlon; Triathlon Goodyear, AZ;Tri Family Racing;http://trifamilyracing.com/index.html;http://www.active.com//goodyear-az/duathlon/races/the-13th-annual-shamrock-farms-rockin-refuel-ymca-thanksgiving-day-youth-and-adult-sprint-triathlon-and-duathlon-2016?int=72-3-A92a789651-97fc-475a-ac75-8c630eab4ae2
2017 Saint Louis Triathlon;Sunday, May 21, 2017;Tremayne Shelter 13725 Marine Ave Maryland Heights , MO 63043 ;triathlon; Triathlon International Sprint Beginner;MSE Racing;http://stlouistriathlon.com;http://www.active.com//maryland-heights-mo/triathlon/races/saint-louis-triathlon-2017?int=72-3-A105568dcbf-990d-4958-82f1-5fc7ed454ec2
Ironman 70.3 St. Croix;Sunday, May  7, 2017;  Christiansted St. Croix , VI 00822 ;triathlon; Triathlon Sprint Beginner;Project St. Croix;http://www.stcroixtriathlon.com;http://www.active.com//st-croix-vi/triathlon/races/ironman-70-3-st-croix-2017?int=72-3-A11d9b163ea-2c15-4af9-95a7-dc8824ab3662
2016/17 Tri Series Race 2 - Race Start 4pm, 6th November;Sunday, November  6, 2016;Sydney International Regatta Centre Gate A, Old Castlereagh Rd Penrith , NSW , Australia 2750 ;triathlon; Triathlon Sprint Beginner;Hills Triathlon Club;http://www.hillstriclub.com/;http://www.active.com//penrith-nsw/triathlon/races/17-tri-series-race-2-race-start-4pm-6th-november-2016?int=72-3-A1bd684ac4-87c9-4598-825c-252d1f4b37fa
2017 Luck of the Irish Triathlon;Sunday, March 19, 2017;Lewisville ISD Aquatic Center 5729 Memorial Dr The Colony , TX 75056 ;triathlon; Triathlon Sprint Beginner;Playtri Racing;http://www.playtri.com/luckoftheirish;http://www.active.com//the-colony-tx/triathlon/races/luck-of-the-irish-triathlon-2017?int=72-3-A28673f3cb-3fbc-4574-a66c-c89a12ab109e
2017 Toughman Triathlon;Sunday, September 17, 2017;Lake Welch, Harriman State Park 800 Kanawauke Rd Stony Point , NY 10980 ;triathlon; Triathlon;Toughman Inc. 501 C3;http://www.toughmantri.com;http://www.active.com//stony-point-ny/triathlon/races/toughman-triathlon-2017?int=72-3-A31cabfd08-96ff-42d4-ab74-a526e4a9ce49
12th Annual Turkey Triathlon and 5K Trot;Saturday, November  5, 2016;Weber State University 3848 Harrison Blvd Ogden , UT 84403 ;triathlon; Running 5K Sprint Beginner Ogden, UT;Weber State University Campus Recreation;http://www.weber.edu/races;http://www.active.com//ogden-ut/running/distance-running-races/12th-annual-turkey-triathlon-and-5k-trot-2016?int=72-3-A441ee6d13-2f05-43ed-b879-d010d3bda782
